iter	Passed	Remaining
0	145	145567
1	149	74737
2	152	50609
3	154	38456
4	156	31085
5	157	26160
6	159	22617
7	160	19953
8	162	17896
9	164	16252
10	165	14880
11	166	13740
12	168	12790
13	170	11974
14	171	11250
15	172	10619
16	174	10068
17	175	9571
18	176	9136
19	178	8747
20	180	8394
21	181	8075
22	183	7779
23	184	7511
24	186	7264
25	187	7033
26	189	6819
27	190	6623
28	192	6453
29	194	6290
30	196	6138
31	198	5992
32	199	5852
33	201	5716
34	202	5586
35	204	5465
36	205	5347
37	207	5240
38	208	5142
39	211	5070
40	212	4978
41	214	4890
42	215	4805
43	217	4722
44	218	4642
45	220	4567
46	221	4498
47	223	4436
48	225	4377
49	227	4313
50	228	4250
51	229	4192
52	231	4135
53	232	4081
54	234	4029
55	235	3978
56	237	3929
57	239	3883
58	240	3838
59	242	3792
60	243	3747
61	244	3704
62	246	3662
63	247	3620
64	248	3578
65	250	3540
66	251	3503
67	252	3464
68	254	3432
69	255	3401
70	257	3374
71	259	3346
72	261	3319
73	263	3291
74	264	3261
75	265	3233
76	267	3206
77	269	3181
78	271	3159
79	272	3138
80	274	3112
81	275	3085
82	277	3060
83	278	3035
84	279	3005
85	280	2981
86	281	2952
87	282	2931
88	284	2912
89	286	2898
90	288	2879
91	289	2858
92	290	2836
93	292	2816
94	293	2796
95	294	2777
96	296	2758
97	297	2740
98	299	2724
99	300	2708
100	302	2690
101	303	2667
102	304	2652
103	305	2635
104	307	2618
105	308	2602
106	309	2585
107	311	2569
108	312	2554
109	314	2541
110	315	2527
111	317	2513
112	318	2499
113	319	2485
114	321	2470
115	322	2454
116	323	2441
117	324	2428
118	326	2414
119	327	2402
120	329	2396
121	331	2387
122	332	2370
123	333	2359
124	335	2347
125	336	2335
126	338	2324
127	339	2309
128	340	2298
129	341	2287
130	343	2276
131	344	2267
132	346	2259
133	347	2248
134	349	2237
135	350	2227
136	351	2216
137	353	2205
138	354	2196
139	355	2186
140	357	2176
141	358	2167
142	360	2159
143	361	2151
144	363	2141
145	364	2132
146	365	2122
147	367	2113
148	368	2105
149	370	2098
150	371	2091
151	373	2082
152	375	2080
153	377	2073
154	379	2066
155	380	2059
156	382	2051
157	383	2045
158	385	2038
159	386	2030
160	388	2023
161	390	2018
162	391	2011
163	393	2004
164	394	1996
165	395	1989
166	397	1982
167	398	1974
168	400	1967
169	401	1960
170	402	1953
171	404	1948
172	406	1942
173	407	1935
174	409	1929
175	410	1922
176	412	1916
177	413	1909
178	414	1903
179	416	1896
180	416	1886
181	418	1879
182	419	1874
183	421	1868
184	422	1863
185	424	1858
186	426	1852
187	427	1846
188	429	1841
189	430	1836
190	432	1831
191	433	1825
192	436	1824
193	438	1820
194	439	1815
195	441	1810
196	442	1805
197	444	1799
198	445	1793
199	446	1787
200	448	1781
201	449	1777
202	451	1773
203	454	1771
204	455	1767
205	457	1762
206	458	1756
207	460	1751
208	461	1746
209	462	1741
210	464	1736
211	466	1732
212	467	1728
213	469	1723
214	470	1718
215	472	1713
216	473	1708
217	474	1703
218	476	1697
219	477	1692
220	478	1687
221	480	1683
222	481	1679
223	483	1675
224	484	1669
225	486	1665
226	487	1659
227	488	1654
228	490	1649
229	491	1645
230	492	1640
231	494	1635
232	495	1631
233	497	1627
234	498	1622
235	499	1618
236	501	1613
237	502	1609
238	503	1604
239	505	1600
240	506	1595
241	507	1590
242	509	1586
243	510	1581
244	512	1578
245	513	1574
246	515	1570
247	516	1565
248	517	1561
249	518	1556
250	520	1552
251	521	1547
252	522	1543
253	524	1539
254	525	1535
255	527	1531
256	528	1528
257	530	1525
258	531	1521
259	532	1516
260	534	1512
261	535	1508
262	536	1504
263	538	1500
264	539	1496
265	541	1493
266	542	1489
267	544	1486
268	545	1482
269	546	1478
270	548	1474
271	549	1470
272	550	1466
273	552	1462
274	553	1459
275	554	1455
276	556	1452
277	557	1449
278	559	1445
279	560	1442
280	562	1438
281	563	1434
282	564	1430
283	566	1427
284	567	1423
285	568	1420
286	570	1416
287	571	1413
288	573	1410
289	574	1407
290	576	1404
291	577	1400
292	579	1397
293	580	1394
294	581	1390
295	583	1387
296	584	1383
297	585	1380
298	587	1377
299	589	1374
300	590	1371
301	591	1368
302	593	1364
303	594	1361
304	595	1358
305	597	1354
306	598	1351
307	600	1348
308	601	1345
309	603	1342
310	604	1339
311	605	1336
312	607	1333
313	608	1330
314	610	1327
315	611	1323
316	613	1320
317	614	1317
318	615	1314
319	617	1311
320	618	1309
321	620	1306
322	621	1303
323	623	1300
324	624	1296
325	625	1293
326	626	1290
327	628	1287
328	629	1284
329	630	1281
330	632	1278
331	633	1275
332	635	1272
333	636	1269
334	638	1266
335	639	1263
336	640	1260
337	642	1257
338	643	1254
339	644	1251
340	646	1248
341	648	1247
342	649	1244
343	651	1241
344	652	1239
345	653	1235
346	655	1233
347	656	1229
348	657	1227
349	659	1224
350	660	1221
351	661	1218
352	663	1215
353	664	1213
354	666	1210
355	667	1207
356	669	1205
357	670	1202
358	672	1200
359	673	1197
360	674	1194
361	676	1191
362	678	1190
363	680	1188
364	681	1186
365	683	1183
366	684	1180
367	686	1178
368	687	1175
369	688	1172
370	690	1170
371	691	1167
372	693	1166
373	695	1164
374	698	1163
375	699	1160
376	700	1158
377	702	1155
378	703	1152
379	704	1149
380	706	1147
381	707	1144
382	709	1142
383	710	1140
384	712	1137
385	713	1135
386	715	1132
387	716	1129
388	717	1127
389	719	1124
390	720	1121
391	721	1119
392	723	1117
393	724	1114
394	726	1112
395	727	1109
396	728	1107
397	730	1104
398	731	1102
399	733	1099
400	734	1097
401	736	1094
402	737	1092
403	740	1091
404	741	1089
405	743	1087
406	744	1084
407	746	1082
408	747	1080
409	748	1077
410	750	1075
411	751	1072
412	753	1070
413	754	1068
414	756	1066
415	757	1063
416	759	1061
417	760	1058
418	761	1056
419	763	1054
420	764	1051
421	766	1049
422	767	1047
423	769	1044
424	770	1042
425	772	1040
426	773	1037
427	774	1035
428	776	1033
429	777	1031
430	779	1028
431	780	1026
432	782	1024
433	783	1021
434	784	1019
435	786	1017
436	788	1015
437	789	1013
438	790	1010
439	792	1008
440	793	1005
441	794	1003
442	796	1001
443	797	999
444	799	997
445	801	995
446	802	993
447	804	990
448	805	988
449	806	986
450	808	984
451	810	982
452	811	980
453	813	978
454	815	976
455	817	974
456	818	972
457	820	970
458	821	968
459	823	966
460	824	963
461	825	961
462	827	959
463	828	957
464	830	954
465	831	953
466	833	951
467	834	948
468	836	946
469	837	944
470	838	942
471	840	939
472	841	937
473	842	935
474	844	933
475	845	930
476	847	928
477	848	926
478	850	924
479	851	922
480	852	920
481	854	917
482	855	915
483	856	913
484	857	911
485	859	908
486	860	906
487	862	904
488	863	902
489	865	900
490	866	898
491	867	896
492	869	893
493	870	891
494	872	889
495	873	887
496	874	885
497	876	883
498	877	881
499	879	879
500	880	877
501	881	874
502	883	872
503	884	870
504	885	868
505	886	865
506	888	863
507	889	861
508	891	860
509	893	858
510	894	856
